Frame,Latency_ms
2049,30.6100
2050,33.1029
2051,29.5774
2052,34.9895
2053,33.6030
2054,35.0873
2055,30.3740
2056,31.0193
2057,28.8079
2058,32.3505
2059,31.6897
2060,34.0846
2061,32.5848
2062,29.7957
2063,32.4907
2064,29.1373
2065,34.8280
2066,32.4937
2067,33.7396
2068,34.0136
2069,33.8978
2070,33.1202
2071,31.8204
2072,31.8407
2073,34.3736
2074,31.2622
2075,32.6203
2076,31.1634
2077,32.2564
2078,29.9697
2079,37.1001
2080,33.8047
2081,32.7272
2082,31.6108
2083,34.2844
2084,33.5539
2085,38.3929
2086,30.6030
2087,31.5779
2088,30.6756
2089,38.2687
2090,34.6293
2091,35.5961
2092,29.5256
2093,34.7272
2094,31.8542
2095,40.9741
2096,31.1667
2097,31.3389
2098,30.8083
2099,33.8570
2100,32.7135
2101,33.1215
2102,34.0556
2103,35.7025
2104,32.4485
2105,31.9976
2106,31.5719
2107,30.1577
2108,34.7575
2109,30.4603
2110,39.2003
2111,32.7869
2112,35.1088
2113,37.5921
2114,30.4505
2115,29.8976
2116,33.4940
2117,31.8712
2118,29.9743
2119,29.6194
2120,32.8108
2121,31.1779
2122,46.1207
2123,33.5501
2124,29.2201
2125,31.0333
2126,32.3000
2127,37.1008
2128,32.1536
2129,35.7150
2130,31.1288
2131,31.5483
2132,34.0467
2133,32.1302
2134,33.2041
2135,37.0083
2136,33.4168
2137,32.7489
2138,31.1444
2139,32.5731
2140,34.2319
2141,35.2126
2142,32.0657
2143,32.3334
2144,37.9122
2145,35.1118
2146,33.0924
2147,30.9912
2148,31.8644
2149,32.7320
2150,31.4812
2151,37.5141
2152,28.6428
2153,31.4177
2154,37.2744
2155,33.7004
2156,30.8003
2157,36.2989
2158,34.5188
2159,29.2001
2160,33.6929
2161,33.3282
2162,33.0254
2163,32.5176
2164,34.3051
2165,31.0170
2166,32.4028
2167,34.4544
2168,35.3904
2169,30.7625
2170,36.6367
2171,34.5775
2172,34.6112
2173,35.0852
2174,29.3591
2175,35.3163
2176,31.1064
2177,33.4371
2178,34.6630
2179,31.9025
2180,31.8245
2181,30.9883
2182,36.1216
2183,30.9695
2184,31.5810
2185,31.4205
2186,30.8638
2187,36.2584
2188,33.7520
2189,35.9587
2190,30.8284
2191,32.6479
2192,32.8443
2193,33.3082
2194,32.8521
2195,32.6898
2196,33.9311
2197,34.3494
2198,33.2397
2199,35.8602
2200,31.4628
2201,34.7285
2202,30.4202
2203,31.7047
2204,33.5752
2205,30.2867
2206,30.9957
2207,32.7031
2208,30.3900
2209,37.6423
2210,33.8373
2211,37.4596
2212,33.7956
2213,39.1985
2214,33.8812
2215,30.9143
2216,37.0626
2217,39.2900
2218,37.9290
2219,37.4984
2220,36.5882
2221,31.8146
2222,33.3521
2223,33.3839
2224,34.8506
2225,37.2673
2226,33.9560
2227,36.4710
2228,31.0164
2229,33.8013
2230,35.1641
2231,33.0630
2232,29.0083
2233,37.5566
2234,34.2080
2235,37.5521
2236,33.4597
2237,32.5140
2238,37.5115
2239,35.5618
2240,32.1501
2241,29.6833
2242,33.8238
2243,36.2047
2244,32.7120
2245,32.9836
2246,39.0602
2247,29.9982
2248,31.8687
2249,34.7373
2250,35.8759
2251,37.9679
2252,31.8147
2253,32.6834
2254,31.9808
2255,34.3946
2256,31.1212
2257,32.5352
2258,35.3210
2259,40.9796
2260,34.9279
2261,31.7096
2262,32.2465
2263,32.1505
2264,33.8847
2265,34.0876
2266,33.3421
2267,29.8151
2268,35.3749
2269,33.9480
2270,30.6719
2271,31.8121
2272,31.3081
2273,35.7006
2274,34.9794
2275,31.4171
2276,34.9900
2277,31.4998
2278,30.1754
2279,33.2886
2280,30.2720
2281,32.6708
2282,35.3758
2283,34.3108
2284,36.2370
2285,32.9721
2286,32.2797
2287,32.1787
2288,32.7470
2289,32.7400
2290,34.3604
2291,30.4492
2292,35.0099
2293,32.2662
2294,33.1247
2295,30.2567
2296,33.3501
2297,31.9798
2298,32.0123
2299,31.8250
2300,30.0776
2301,30.0651
2302,30.9281
2303,40.1648
2304,28.2175
2305,30.8338
2306,30.6754
2307,33.7958
2308,36.2835
2309,34.3362
2310,32.4753
2311,33.6129
2312,30.9906
2313,32.8497
2314,35.8269
2315,33.0442
2316,32.6213
2317,38.4565
2318,36.1945
2319,30.5778
2320,35.9120
2321,32.2781
2322,29.7251
2323,32.7350
2324,32.6195
2325,30.8340
2326,36.9822
2327,34.0914
2328,32.3833
2329,40.0946
2330,37.4229
2331,36.1103
2332,31.9283
2333,42.3569
2334,35.6048
2335,38.3968
2336,33.5599
2337,38.3399
2338,29.4985
2339,33.1800
2340,32.6698
2341,29.5679
2342,31.6719
2343,30.0235
2344,33.6207
2345,31.3551
2346,33.6712
2347,30.7943
2348,33.3795
2349,36.6421
2350,31.5779
2351,31.1183
2352,34.5943
2353,31.2448
2354,33.9532
2355,28.4268
2356,29.1405
2357,34.6966
2358,33.3514
2359,29.9461
2360,37.8525
2361,31.7036
2362,36.3920
2363,32.4458
2364,34.5361
2365,36.3222
2366,32.3064
2367,34.4999
2368,35.1808
2369,31.4796
2370,32.3910
2371,36.9950
2372,31.5652
2373,32.0835
2374,33.1239
2375,40.7203
2376,36.0816
2377,34.4874
2378,32.8520
2379,33.6259
2380,38.8610
2381,31.7866
2382,33.0549
2383,36.8410
2384,34.8895
2385,32.5515
2386,30.7301
2387,38.8018
2388,34.2466
2389,34.2763
2390,36.1659
2391,34.5934
2392,29.6619
2393,34.5319
2394,34.4271
2395,35.4042
2396,33.7898
2397,36.4078
2398,40.4775
2399,34.4212
2400,35.7942
2401,32.6613
2402,31.9324
2403,32.4939
2404,36.9327
2405,31.6079
2406,32.4408
2407,28.6129
2408,32.2915
2409,28.3732
2410,35.6936
2411,33.4883
2412,30.3932
2413,33.3006
2414,36.9309
2415,30.3537
2416,34.8451
2417,31.5112
2418,32.8149
2419,29.9780
2420,30.7885
2421,34.4269
2422,32.0984
2423,31.9447
2424,30.0997
2425,30.1821
2426,31.5452
2427,34.1982
2428,32.4802
2429,31.9160
2430,33.6347
2431,34.5150
2432,35.0983
2433,35.1475
2434,31.6720
2435,37.6354
2436,30.6131
2437,31.3822
2438,33.1818
2439,35.5743
2440,27.9658
2441,35.3495
2442,33.9206
2443,29.3008
2444,30.1044
2445,32.2077
2446,32.9444
2447,29.0852
2448,28.0720
2449,33.2511
2450,33.6643
2451,31.2389
2452,30.6672
2453,33.7093
2454,32.3017
2455,37.0689
2456,38.3897
2457,35.6973
2458,30.9125
2459,33.3437
2460,29.9644
2461,37.5204
2462,31.8282
2463,34.5557
2464,31.6650
2465,30.0599
2466,32.6589
2467,33.1940
2468,31.4480
2469,30.5460
2470,30.4176
2471,29.8359
2472,61.1825
2473,32.9377
2474,29.9081
2475,30.8103
2476,33.6237
2477,29.8953
2478,31.6633
2479,28.5787
2480,30.2067
2481,29.7297
2482,32.5570
2483,31.8343
2484,28.9413
2485,30.9216
2486,29.8079
2487,32.0853
2488,29.6653
2489,29.5824
2490,31.4111
2491,35.5720
2492,35.2320
2493,38.0807
2494,39.1726
2495,38.8521
2496,38.1127
2497,42.1163
2498,40.1207
2499,40.9198
2500,45.6370
2501,42.0072
2502,44.3351
2503,45.3877
2504,44.8297
2505,50.5304
2506,45.9184
2507,47.6103
2508,50.5535
2509,47.3454
2510,45.1535
2511,53.9157
2512,49.4246
2513,46.7665
2514,48.2561
2515,49.2778
2516,49.2629
2517,48.0289
2518,52.1027
2519,47.4633
2520,52.4783
2521,46.0897
2522,46.5399
2523,44.1943
2524,48.4640
2525,44.8393
2526,50.4537
2527,47.2552
2528,50.0206
2529,46.8837
2530,49.6237
2531,49.7983
2532,47.8479
2533,45.4770
2534,48.2359
2535,44.1231
2536,50.9492
2537,47.1310
2538,48.1502
2539,46.1356
